"g_id","g_link"
"206150","https://store.steampowered.com/app/206150/Rocksmith__Pat_Benatar__Hit_Me_With_Your_Best_Shot/?snr=1_241_4_casual_104_1163"
"206151","https://store.steampowered.com/app/206151/Rocksmith__The_Knack__My_Sharona/?snr=1_241_4_casual_104_1163"
"206152","https://store.steampowered.com/app/206152/Rocksmith__Finger_Eleven__Paralyzer/?snr=1_241_4_casual_104_1135"
"206153","https://store.steampowered.com/app/206153/Rocksmith__Lamb_of_God__Redneck/?snr=1_241_4_casual_104_1281"
"206155","https://store.steampowered.com/app/206155/Rocksmith__The_Temptations__My_Girl/?snr=1_241_4_casual_104_1140"
"206156","https://store.steampowered.com/app/206156/Rocksmith__Marvin_Gaye__Whats_Going_On/?snr=1_241_4_casual_104_1219"
"206157","https://store.steampowered.com/app/206157/Rocksmith__Otis_Redding__Sittin_On_The_Dock_of_the_Bay/?snr=1_241_4_casual_104_1212"
"206158","https://store.steampowered.com/app/206158/Rocksmith__Creedence_Clearwater_Revival__Born_on_the_Bayou/?snr=1_241_4_casual_104_1172"
"206159","https://store.steampowered.com/app/206159/Rocksmith__Iron_Butterfly__InAGaddaDaVida/?snr=1_241_4_casual_104_1221"
"206160","https://store.steampowered.com/app/206160/Rocksmith__The_Allman_Brothers_Band__Whipping_Post/?snr=1_241_4_casual_104_1481"
"206161","https://store.steampowered.com/app/206161/Rocksmith__Dobie_Gray__Drift_Away/?snr=1_241_4_casual_104_1220"
"206162","https://store.steampowered.com/app/206162/Rocksmith__David_Bowie__The_Man_Who_Sold_The_World/?snr=1_241_4_casual_104_1136"
"206163","https://store.steampowered.com/app/206163/Rocksmith__Mountain__Mississippi_Queen/?snr=1_241_4_casual_104_1141"
"206164","https://store.steampowered.com/app/206164/Rocksmith__Twisted_Sister__Were_Not_Gonna_Take_It/?snr=1_241_4_casual_104_1134"
"206165","https://store.steampowered.com/app/206165/Rocksmith__Whitesnake__Is_This_Love/?snr=1_241_4_casual_104_1215"
"206166","https://store.steampowered.com/app/206166/Rocksmith__Europe__The_Final_Countdown/?snr=1_241_4_casual_104_1131"
"206167","https://store.steampowered.com/app/206167/Rocksmith__Gary_Clark_Jr__Bright_Lights/?snr=1_241_4_casual_104_1176"
"206168","https://store.steampowered.com/app/206168/Rocksmith__Grace_Potter_and_the_Nocturnals__Paris_Ooh_La_La/?snr=1_241_4_casual_104_1245"
"206169","https://store.steampowered.com/app/206169/Rocksmith__The_Shins__Caring_is_Creepy/?snr=1_241_4_casual_104_1235"
"206170","https://store.steampowered.com/app/206170/Rocksmith__Guitarcade__Time_Saver_Pack/?snr=1_241_4_casual_104_1550"
"206171","https://store.steampowered.com/app/206171/Rocksmith__Guitars_and_Basses__Time_Saver_Pack/?snr=1_241_4_casual_104_1522"
"206172","https://store.steampowered.com/app/206172/Rocksmith__Hidden_Songs__Time_Saver_Pack/?snr=1_241_4_casual_104_1502"
